"id","model.climate.tableName","model.site.soilDepth","model.site.swdC","model.site.otherC","model.site.youngRefractoryC","model.site.availableNitrogen","model.site.youngLabileC","model.site.somC","model.site.pctClay","model.site.pctSilt","model.site.pctSand"
28805,"climate749",133.000001311302,NA,NA,NA,NA,NA,260680,"18","41","41"
28911,"climate760",225.999996066093,NA,NA,NA,NA,NA,NA,"6","38","56"
28806,"climate749",138.853549957275,NA,NA,NA,NA,NA,260680,"18","41","41"
28701,"climate749",133.000001311302,NA,NA,NA,NA,NA,260680,"18","41","41"
28593,"climate749",113.789170980453,NA,NA,NA,NA,NA,260680,"2","11","87"
29016,"climate760",225.999996066093,NA,NA,NA,NA,NA,NA,"6","38","56"
28912,"climate758",225.999996066093,NA,NA,NA,NA,NA,NA,"6","38","56"
28807,"climate749",140.350103378296,NA,NA,NA,NA,NA,260680,"30","39","31"
28702,"climate749",133.000001311302,NA,NA,NA,NA,NA,260680,"18","41","41"
28594,"climate722",128.687083721161,NA,NA,NA,NA,NA,260680,"18","41","41"
28486,"climate722",111.447647213936,NA,NA,NA,NA,NA,260680,"2","11","87"
29017,"climate760",46.0159182548523,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
28913,"climate758",211.775258183479,NA,NA,NA,NA,NA,NA,"6","38","56"
28808,"climate758",42.8014621138573,NA,NA,NA,NA,NA,NA,"18","41","41"
28703,"climate750",124.628804624081,NA,NA,NA,NA,NA,260680,"30","39","31"
28595,"climate722",133.000001311302,NA,NA,NA,NA,NA,260680,"18","41","41"
28487,"climate722",111.817769706249,NA,NA,NA,NA,NA,260680,"2","11","87"
29120,"climate765",225.999996066093,NA,NA,NA,NA,NA,NA,"6","38","56"
29018,"climate760",179.984077811241,NA,NA,NA,NA,NA,NA,"18","41","41"
28914,"climate758",222.363203763962,NA,NA,NA,NA,NA,NA,"6","38","56"
28809,"climate758",183.620870113373,NA,NA,NA,NA,NA,NA,"18","41","41"
28704,"climate750",136.713311076164,NA,NA,NA,NA,NA,260680,"30","39","31"
28596,"climate722",133.000001311302,NA,NA,NA,NA,NA,260680,"18","41","41"
28488,"climate722",111.817769706249,NA,NA,NA,NA,NA,260680,"2","11","87"
28377,"climate722",126.869305968285,NA,NA,NA,NA,NA,260680,"30","39","31"
29121,"climate765",46.0159182548523,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
29019,"climate760",46.0159182548523,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
28915,"climate758",46.0159182548523,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
28810,"climate758",46.0159182548523,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
28705,"climate750",194.33605670929,NA,NA,NA,NA,NA,107663.1111,"18","41","41"
28597,"climate750",138.853549957275,NA,NA,NA,NA,NA,260680,"18","41","41"
