"","x","y","elevation","slope","aspect","depth","sand","silt","clay","tipi_for","Bodenlands","ele_cat","slope_cat","asp_cat","cat_for"
"1",630300.638826818,5177866.09651792,46,2108,20,295718.200683594,0.412085056304932,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",0,12,1,"AE"
"2",623000.638826818,5173366.09651792,62,2087,28,129594.879150391,0.293999999761581,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"3",629700.638826818,5177466.09651792,59,2042,22,331877.136230469,0.316000014543533,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"4",617900.638826818,5157866.09651792,59,2000,35,347262.878417969,0.143587738275528,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"5",628300.638826818,5177066.09651792,128,2170,22,107343.696594238,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,1,"AE"
"6",628600.638826818,5176866.09651792,62,2061,29,116403.007507324,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"7",627800.638826818,5176466.09651792,62,2068,24,152355.804443359,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"8",620800.638826818,5160366.09651792,59,2048,27,309344.879150391,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"9",629900.638826818,5178266.09651792,62,2111,34,119075.813293457,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"10",628700.638826818,5176966.09651792,62,2032,26,119880.767822266,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"11",620200.638826818,5160066.09651792,59,2011,38,896.798014640808,0.245000004768372,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"12",628800.638826818,5177066.09651792,62,2028,23,130896.499633789,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
"13",628500.638826818,5176866.09651792,62,2114,25,117164.604187012,0.259999990463257,42.689998626709,39.1500015258789,"AE","Fs10-FT5-La6-Ge1-Zi1,4",100,12,2,"AE"
