"tipi_for","clay","silt","sand"
"Zi1","18","39","43"
"Fs2","12","39","49"
"Fs10","18","39","43"
"Zi4","18","39","43"
"Fs3","12","39","49"
"Fs1","12","39","49"
"Fs4","12","39","49"
"Zi3","6","38","56"
"Fs6","24","40","36"
"Fs8","24","40","36"
"Fs7","24","40","36"
"La6","18","39","43"
"Fs9","40","29","31"
"Fs15","12","39","49"
"Fi3","12","39","49"
"Fs5","40","39","21"
"Zi2","24","40","36"
"FT5","18","39","43"
"FT19","40","39","21"
"FT15","40","39","21"
"Ki1","24","40","36"
"Fi4","12","39","49"
"FT6","40","39","21"
"Zi6","40","39","21"
"FT11","12","39","49"
"FT12","12","39","49"
"Zi4","24","40","36"
"FT1","12","39","49"
"Zi7","24","40","36"
"Fi8","12","39","49"
"Ki8","12","39","49"
"La9","6","38","56"
"Fi1","12","39","49"
"FT14","12","39","49"
"Fi15","12","39","49"
"Fi5","24","40","36"
"FT16","40","39","21"
"La8","12","39","49"
"EK4","12","39","49"
"EK3","6","38","56"
"EK5","6","38","56"
"La2","24","40","36"
"Fi6","24","40","36"
"Lh15","12","39","49"
"Ei9","12","39","49"
"Ge1","18","39","43"
"AS","4","25","71"
"AE","4","25","71"
"AT","4","25","71"
"Lat1","12","39","49"
"Lat2","12","39","49"
"Lat3","12","39","49"
"EK6","6","38","56"
"La3","12","39","49"
