idpunto,Capm_ha,Cce_ha,Cne_ha,Cnef_ha,Clt_ha,Cor_ha,Css_ha,Csp_ha,WGRU_CODE
44,0,0.079350806,0,NA,NA,NA,NA,NA,Fs
68,0,1.245386467,0.028984973,NA,NA,NA,NA,NA,Fs
137,0.986203941,0.530797564,0.720800535,NA,NA,NA,NA,NA,Zi
150,0,0.804491012,0.027162868,NA,NA,NA,NA,NA,Fi
155,0,0.361524259,4.653554445,NA,NA,NA,NA,NA,Fs
186,0,1.66090492,0,NA,NA,NA,NA,NA,Fs
236,0,2.230083052,0.410569226,NA,NA,NA,NA,NA,Fs
289,0.967111742,2.32114379,1.200442498,NA,NA,NA,NA,NA,Fs
295,0,0.752693587,0,NA,NA,NA,NA,NA,Fs
326,0.487061228,0.326102915,1.45E-05,NA,NA,NA,NA,NA,Fi
359,0.443697974,0.723566739,0.745683334,NA,NA,NA,NA,NA,Fi
389,0,7.191429163,0,NA,NA,NA,NA,NA,FT
431,0,5.78962902,0,NA,NA,NA,NA,NA,Ki
434,0,0.041001998,0,NA,NA,NA,NA,NA,Fs
464,0.425203519,1.279787796,0.015302787,NA,NA,NA,NA,NA,FT
469,4.368502774,0.042305431,0.16701717,0.047491031,8.762302767,33.38676958,9.334705359,6.907146199,Ki
621,0,2.651159838,0.051444953,NA,NA,NA,NA,NA,FT
631,0,4.99056221,0.435292038,NA,NA,NA,NA,NA,Fs
661,1.317551091,0.507778181,3.542048741,NA,NA,NA,NA,NA,Fi
663,4.569476654,0.214642396,0.059975959,NA,NA,NA,NA,NA,Fi
667,0.715784438,0,0.000376992,2.447884666,19.73431769,14.54285495,8.396128413,10.19391484,Zi
703,0,1.793752708,0.12816951,NA,NA,NA,NA,NA,Fi
859,0,0.423031388,0.129591805,NA,NA,NA,NA,NA,Fi
948,0,3.464456087,0.19406181,NA,NA,NA,NA,NA,Fi
980,2.5254921,0.098806009,2.949331374,NA,NA,NA,NA,NA,Fi
1022,0,0.320239987,0.598844095,NA,NA,NA,NA,NA,FT
1049,0.036964403,1.259213346,0,NA,NA,NA,NA,NA, 
1111,0.942680882,1.539948636,0.265012894,NA,NA,NA,NA,NA,Fi
1147,0,3.30658818,0.222574167,1.225766728,22.11047563,16.15922984,21.78098852,41.64949401,Fs
1185,0,0.498727593,0,NA,NA,NA,NA,NA,Fs
1256,0,0.12018906,6.40E-05,NA,NA,NA,NA,NA,Fs
1308,0.144900462,0.00719222,0.207361257,NA,NA,NA,NA,NA,Fi
1316,0.208041639,0.151486901,1.978130517,NA,NA,NA,NA,NA,Zi
1445,2.830308612,0.187966751,0.230179997,NA,NA,NA,NA,NA,Zi
1452,0,0.688293577,0.47014922,3.206697673,5.567052707,1.399867591,0,0,Zi
1469,0,0.525036398,0.100050458,NA,NA,NA,NA,NA,Fi
1538,0,1.172898061,0.26904008,NA,NA,NA,NA,NA,FT
1544,0,0.240745597,0.31135913,NA,NA,NA,NA,NA,Fi
1574,0.148906096,0.614679618,0.429389689,NA,NA,NA,NA,NA,Fs
1635,0.822246463,1.039109544,0.318747373,NA,NA,NA,NA,NA,FT
1640,0,0.206685969,0,NA,NA,NA,NA,NA,Fi
1665,0,2.052088798,0.336563126,NA,NA,NA,NA,NA,Fi
1727,0,2.866640334,0.141379352,NA,NA,NA,NA,NA,Fi
1771,0,0.12590007,0.309036326,NA,NA,NA,NA,NA,Fi
1775,3.891436943,1.199876766,0.027922078,NA,NA,NA,NA,NA,Fi
1777,3.437972867,2.130383478,0,NA,NA,NA,NA,NA,Fi
1790,2.366032501,0.810389353,0.149563257,NA,NA,NA,NA,NA,Fi
1799,0,0.692715612,0.187294477,NA,NA,NA,NA,NA,Fs
1805,0.789971347,0.395758864,0.163100917,NA,NA,NA,NA,NA,La
1884,0,0.162334935,2.283540711,NA,NA,NA,NA,NA,Fi
1922,1.568435819,0.767873909,2.746632422,NA,NA,NA,NA,NA,Fs
1927,0.210501908,8.979942085,0.26415057,NA,NA,NA,NA,NA,Zi
1997,0,0.310072813,0,NA,NA,NA,NA,NA,FT
2004,0,3.079575469,0.667842868,0,5.950012595,10.91003136,26.23854706,22.804833,FT
2007,0.254536549,0.29106437,0.430052043,NA,NA,NA,NA,NA,FT
2024,0,1.317106227,0.530001184,NA,NA,NA,NA,NA,Ki
2052,0,1.597020598,0.8222507,NA,NA,NA,NA,NA,Fs
2060,2.132621723,0.725002932,7.525815694,NA,NA,NA,NA,NA,Zi
2074,4.266294878,0.774020841,0.697081854,NA,NA,NA,NA,NA,Fs
2132,0,0.607338532,0,NA,NA,NA,NA,NA,EK
2149,1.86183714,0.814060967,0.03861549,NA,NA,NA,NA,NA,Fs
2235,1.237922785,0.293265078,0.10969639,NA,NA,NA,NA,NA,Fi
2243,0,1.791702964,0.882346443,NA,NA,NA,NA,NA,Fs
2250,0,0,0.544781592,NA,NA,NA,NA,NA,FT
2345,0.176706245,1.229480985,0.05353396,0.289983115,15.72145631,126.1973583,0,0,Fs
2360,0,0,0.0665766,NA,NA,NA,NA,NA,Lh
2363,10.62164651,0.092513993,0.662141419,NA,NA,NA,NA,NA, 
2368,0,1.98856631,0.128965785,NA,NA,NA,NA,NA,Fs
2387,0,0.341814158,0.047216062,NA,NA,NA,NA,NA,Fi
2402,0,1.799689362,0.130311613,NA,NA,NA,NA,NA,Fi
2465,0.062725121,0.159806651,0.735710522,NA,NA,NA,NA,NA,Ei
2482,0.521440604,1.368762794,0.997057772,NA,NA,NA,NA,NA,Fs
2647,4.091917476,0.285410594,0,NA,NA,NA,NA,NA,Ei
2660,0,2.85944598,1.077335689,NA,NA,NA,NA,NA,Zi
2667,0,1.592966088,0.139253178,NA,NA,NA,NA,NA,Fs
2675,0.184740934,1.047575384,0.00069905,NA,NA,NA,NA,NA,Fi
2773,0,0.859704003,0.489805398,NA,NA,NA,NA,NA,Fs
2831,0,0.18302988,1.913613862,NA,NA,NA,NA,NA,FT
2835,2.94460197,1.478986562,0.134807558,NA,NA,NA,NA,NA,Fs
2916,0.111608195,0.453392256,0.018330044,NA,NA,NA,NA,NA,Fs
2948,0,1.99665051,3.7095683,NA,NA,NA,NA,NA,FT
2975,0,5.643073358,8.80E-05,NA,NA,NA,NA,NA,Fs
3007,0.195717328,0.33527713,0.251462356,NA,NA,NA,NA,NA,Fs
3028,1.001505725,1.629866675,0.050749963,NA,NA,NA,NA,NA,Zi
3062,0,0.832112481,2.725222863,NA,NA,NA,NA,NA,Zi
3114,0,0,2.422475306,NA,NA,NA,NA,NA,Fs
3126,0.219076773,1.414113246,0,NA,NA,NA,NA,NA,Fs
3204,0,0.44380017,0,NA,NA,NA,NA,NA,Fs
3211,0.981183449,0.915217191,0.33819701,NA,NA,NA,NA,NA,Ftb
3228,0,0.395058258,0.031568717,NA,NA,NA,NA,NA,Fs
3266,0.69145705,0.283508701,0.049078225,NA,NA,NA,NA,NA,Fs
3283,0.726754434,2.196334653,0.110473911,NA,NA,NA,NA,NA,FT
3434,0.459777544,0.318037992,1.033144828,NA,NA,NA,NA,NA,Fs
3485,0,0.180722967,0.642420735,NA,NA,NA,NA,NA,Fs
3486,1.120553278,1.912324748,0,NA,NA,NA,NA,NA,Fs
3519,0,0,0,NA,NA,NA,NA,NA,Fs
3582,0.695277544,0.492116237,0.188111334,NA,NA,NA,NA,NA,FT
3587,0.441747485,0.078829374,0,NA,NA,NA,NA,NA,FT
3609,0,0,9.208768149,NA,NA,NA,NA,NA,La
3614,0,0.963541742,0.466398759,NA,NA,NA,NA,NA,Fs
3652,0.098473639,1.713039988,0.285909857,NA,NA,NA,NA,NA,Fi
3654,0,1.315875315,0.691568311,NA,NA,NA,NA,NA,EK
3694,0,0.969847493,0.038937143,NA,NA,NA,NA,NA,FT
3695,0,0.122068509,0,NA,NA,NA,NA,NA,Ei
3775,0,10.2076469,0.913020832,NA,NA,NA,NA,NA,Fs
3816,0.937026535,0,0.227118398,NA,NA,NA,NA,NA, 
3844,1.070124677,0.808547964,0.030642583,NA,NA,NA,NA,NA,Fi
3920,0,0.017638618,0.13936438,NA,NA,NA,NA,NA,Zi
3963,1.655490388,1.862821961,0.154993051,NA,NA,NA,NA,NA,FT
3987,0,0.552871102,0,NA,NA,NA,NA,NA,FT
4005,0,1.249838854,0,NA,NA,NA,NA,NA,FT
4030,1.172348714,0.383241793,2.264882375,NA,NA,NA,NA,NA,Fi
4054,0.375374342,0.046236595,0.279049576,NA,NA,NA,NA,NA,FT
4101,0,0.308236531,0.418515869,NA,NA,NA,NA,NA,Zi
4123,1.086756376,0.043471622,0.351754452,NA,NA,NA,NA,NA,Ei
