"idpunto","lat","lon","Capm_ha","Cce_ha","Cne_ha","Cnef_ha","Clt_ha","Cor_ha","Css_ha","Csp_ha","WGRU_CODE"
44,47.04631582,12.09586457,0,0.079350806,0,NA,NA,NA,NA,NA,"Fs"
68,47.0433725,12.13737402,0,1.245386467,0.028984973,NA,NA,NA,NA,NA,"Fs"
137,47.00881467,11.48785013,0.986203941,0.530797564,0.720800535,NA,NA,NA,NA,NA,"Zi"
150,47.00541579,11.97800913,0,0.804491012,0.027162868,NA,NA,NA,NA,NA,"Fi"
155,47.00302667,12.037457,0,0.361524259,4.653554445,NA,NA,NA,NA,NA,"Fs"
186,46.99817592,12.00772374,0,1.66090492,0,NA,NA,NA,NA,NA,"Fs"
236,46.98255626,11.98760972,0,2.230083052,0.410569226,NA,NA,NA,NA,NA,"Fs"
289,46.97741005,11.89117183,0.967111742,2.32114379,1.200442498,NA,NA,NA,NA,NA,"Fs"
295,46.98086542,11.96809253,0,0.752693587,0,NA,NA,NA,NA,NA,"Fs"
326,46.97176583,11.46886764,0.487061228,0.326102915,1.45e-05,NA,NA,NA,NA,NA,"Fi"
359,46.97221921,11.93453703,0.443697974,0.723566739,0.745683334,NA,NA,NA,NA,NA,"Fi"
389,46.95832518,11.35405611,0,7.191429163,0,NA,NA,NA,NA,NA,"FT"
431,46.95891487,11.90431073,0,5.78962902,0,NA,NA,NA,NA,NA,"Ki"
434,46.95923487,11.94701284,0,0.041001998,0,NA,NA,NA,NA,NA,"Fs"
464,46.95388725,11.36696336,0.425203519,1.279787796,0.015302787,NA,NA,NA,NA,NA,"FT"
469,46.94960913,11.42907307,4.368502774,0.042305431,0.16701717,0.047491031,8.762302767,33.38676958,9.334705359,6.907146199,"Ki"
621,46.9343435,11.41112689,0,2.651159838,0.051444953,NA,NA,NA,NA,NA,"FT"
631,46.9364213,11.54305103,0,4.99056221,0.435292038,NA,NA,NA,NA,NA,"Fs"
661,46.9299346,11.93076255,1.317551091,0.507778181,3.542048741,NA,NA,NA,NA,NA,"Fi"
663,46.92924108,11.96334125,4.569476654,0.214642396,0.059975959,NA,NA,NA,NA,NA,"Fi"
667,46.93390923,12.01836746,0.715784438,0,0.000376992,2.447884666,19.73431769,14.54285495,8.396128413,10.19391484,"Zi"
703,46.92175423,11.41946665,0,1.793752708,0.12816951,NA,NA,NA,NA,NA,"Fi"
859,46.90687109,11.3694225,0,0.423031388,0.129591805,NA,NA,NA,NA,NA,"Fi"
948,46.89221127,11.45530608,0,3.464456087,0.19406181,NA,NA,NA,NA,NA,"Fi"
980,46.89474501,11.8797687,2.5254921,0.098806009,2.949331374,NA,NA,NA,NA,NA,"Fi"
1022,46.88459775,11.34747431,0,0.320239987,0.598844095,NA,NA,NA,NA,NA,"FT"
1049,46.891783,11.70254762,0.036964403,1.259213346,0,NA,NA,NA,NA,NA," "
1111,46.87570047,11.38827429,0.942680882,1.539948636,0.265012894,NA,NA,NA,NA,NA,"Fi"
1147,46.88243393,11.85244446,0,3.30658818,0.222574167,1.225766728,22.11047563,16.15922984,21.78098852,41.64949401,"Fs"
1185,46.86817132,11.15974385,0,0.498727593,0,NA,NA,NA,NA,NA,"Fs"
1256,46.86797211,12.0928099,0,0.12018906,6.4e-05,NA,NA,NA,NA,NA,"Fs"
1308,46.85999683,11.5053413,0.144900462,0.00719222,0.207361257,NA,NA,NA,NA,NA,"Fi"
1316,46.86199678,11.60765552,0.208041639,0.151486901,1.978130517,NA,NA,NA,NA,NA,"Zi"
1445,46.85272359,11.92308696,2.830308612,0.187966751,0.230179997,NA,NA,NA,NA,NA,"Zi"
1452,46.85120927,12.00819755,0,0.688293577,0.47014922,3.206697673,5.567052707,1.399867591,0,0,"Zi"
1469,46.84918279,12.23544925,0,0.525036398,0.100050458,NA,NA,NA,NA,NA,"Fi"
1538,46.83836495,11.69347364,0,1.172898061,0.26904008,NA,NA,NA,NA,NA,"FT"
1544,46.84645165,11.7736064,0,0.240745597,0.31135913,NA,NA,NA,NA,NA,"Fi"
1574,46.84403946,12.16566492,0.148906096,0.614679618,0.429389689,NA,NA,NA,NA,NA,"Fs"
1635,46.83296649,11.4785379,0.822246463,1.039109544,0.318747373,NA,NA,NA,NA,NA,"FT"
1640,46.82910251,11.53917447,0,0.206685969,0,NA,NA,NA,NA,NA,"Fi"
1665,46.8338575,11.87180806,0,2.052088798,0.336563126,NA,NA,NA,NA,NA,"Fi"
1727,46.8264032,11.16654034,0,2.866640334,0.141379352,NA,NA,NA,NA,NA,"Fi"
1771,46.82067227,11.74421417,0,0.12590007,0.309036326,NA,NA,NA,NA,NA,"Fi"
1775,46.82573352,11.7922897,3.891436943,1.199876766,0.027922078,NA,NA,NA,NA,NA,"Fi"
1777,46.82811466,11.8148897,3.437972867,2.130383478,0,NA,NA,NA,NA,NA,"Fi"
1790,46.82876629,11.99293595,2.366032501,0.810389353,0.149563257,NA,NA,NA,NA,NA,"Fi"
1799,46.82219272,12.09843692,0,0.692715612,0.187294477,NA,NA,NA,NA,NA,"Fs"
1805,46.82639598,12.1779177,0.789971347,0.395758864,0.163100917,NA,NA,NA,NA,NA,"La"
1884,46.81762701,11.68280186,0,0.162334935,2.283540711,NA,NA,NA,NA,NA,"Fi"
1922,46.81322588,12.18895275,1.568435819,0.767873909,2.746632422,NA,NA,NA,NA,NA,"Fs"
