X,idpunto,WGRU_CODE,Capm_ha,Cce_ha,Cne_ha,Cnef_ha,Clt_ha,Cor_ha,Css_ha,Csp_ha,elevation,slope,aspect,ele_cat,slope_cat,asp_cat
1,44,Fs,0,0.079350806,0,NA,NA,NA,NA,NA,1956,35,121,6,4,4
2,68,Fs,0,1.245386467,0.028984973,NA,NA,NA,NA,NA,1925,31,315,6,4,8
3,137,Zi,0.986203941,0.530797564,0.720800535,NA,NA,NA,NA,NA,1908,18,105,6,2,3
4,150,Fi,0,0.804491012,0.027162868,NA,NA,NA,NA,NA,1501,34,231,6,4,6
5,155,Fs,0,0.361524259,4.653554445,NA,NA,NA,NA,NA,1742,30,299,6,3,8
6,186,Fs,0,1.66090492,0,NA,NA,NA,NA,NA,1563,31,326,6,4,8
7,236,Fs,0,2.230083052,0.410569226,NA,NA,NA,NA,NA,1689,38,266,6,4,7
8,289,Fs,0.967111742,2.32114379,1.200442498,NA,NA,NA,NA,NA,1619,33,205,6,4,6
9,295,Fs,0,0.752693587,0,NA,NA,NA,NA,NA,1612,31,297,6,4,8
10,326,Fi,0.487061228,0.326102915,1.45E-05,NA,NA,NA,NA,NA,1443,34,113,5,4,4
11,359,Fi,0.443697974,0.723566739,0.745683334,NA,NA,NA,NA,NA,1006,12,298,4,2,8
12,389,FT,0,7.191429163,0,NA,NA,NA,NA,NA,1375,24,57,5,3,2
13,431,Ki,0,5.78962902,0,NA,NA,NA,NA,NA,1335,33,120,5,4,4
14,434,Fs,0,0.041001998,0,NA,NA,NA,NA,NA,1705,20,316,6,2,8
15,464,FT,0.425203519,1.279787796,0.015302787,NA,NA,NA,NA,NA,1307,28,7,5,3,1
16,469,Ki,4.368502774,0.042305431,0.16701717,0.047491031,8.762302767,33.38676958,9.334705359,6.907146199,1455,24,196,5,3,5
17,621,FT,0,2.651159838,0.051444953,NA,NA,NA,NA,NA,1601,27,334,6,3,8
18,631,Fs,0,4.99056221,0.435292038,NA,NA,NA,NA,NA,1702,39,244,6,4,6
19,661,Fi,1.317551091,0.507778181,3.542048741,NA,NA,NA,NA,NA,1172,27,66,4,3,2
20,663,Fi,4.569476654,0.214642396,0.059975959,NA,NA,NA,NA,NA,1577,37,173,6,4,5
21,667,Zi,0.715784438,0,0.000376992,2.447884666,19.73431769,14.54285495,8.396128413,10.19391484,2011,36,158,6,4,5
22,703,Fi,0,1.793752708,0.12816951,NA,NA,NA,NA,NA,1591,20,164,6,2,5
23,859,Fi,0,0.423031388,0.129591805,NA,NA,NA,NA,NA,1674,17,198,6,2,5
24,948,Fi,0,3.464456087,0.19406181,NA,NA,NA,NA,NA,996,29,295,4,3,8
25,980,Fi,2.5254921,0.098806009,2.949331374,NA,NA,NA,NA,NA,1238,32,178,5,4,5
26,1022,FT,0,0.320239987,0.598844095,NA,NA,NA,NA,NA,1508,17,52,6,2,2
27,1111,Fi,0.942680882,1.539948636,0.265012894,NA,NA,NA,NA,NA,1168,27,3,4,3,1
28,1147,Fs,0,3.30658818,0.222574167,1.225766728,22.11047563,16.15922984,21.78098852,41.64949401,1585,32,26,6,4,2
29,1185,Fs,0,0.498727593,0,NA,NA,NA,NA,NA,1621,36,275,6,4,7
30,1256,Fs,0,0.12018906,6.40E-05,NA,NA,NA,NA,NA,1795,29,110,6,3,3
31,1308,Fi,0.144900462,0.00719222,0.207361257,NA,NA,NA,NA,NA,925,8,16,4,1,1
32,1316,Zi,0.208041639,0.151486901,1.978130517,NA,NA,NA,NA,NA,2032,33,104,6,4,3
33,1445,Zi,2.830308612,0.187966751,0.230179997,NA,NA,NA,NA,NA,1791,31,11,6,4,1
34,1452,Zi,0,0.688293577,0.47014922,3.206697673,5.567052707,1.399867591,0,0,1816,33,314,6,4,8
35,1469,Fi,0,0.525036398,0.100050458,NA,NA,NA,NA,NA,1844,27,165,6,3,5
36,1538,FT,0,1.172898061,0.26904008,NA,NA,NA,NA,NA,1658,27,44,6,3,2
37,1544,Fi,0,0.240745597,0.31135913,NA,NA,NA,NA,NA,1579,14,150,6,2,4
38,1574,Fs,0.148906096,0.614679618,0.429389689,NA,NA,NA,NA,NA,2022,32,194,6,4,5
39,1635,FT,0.822246463,1.039109544,0.318747373,NA,NA,NA,NA,NA,1393,33,349,5,4,1
40,1640,Fi,0,0.206685969,0,NA,NA,NA,NA,NA,945,37,257,4,4,7
41,1665,Fi,0,2.052088798,0.336563126,NA,NA,NA,NA,NA,1578,29,298,6,3,8
42,1727,Fi,0,2.866640334,0.141379352,NA,NA,NA,NA,NA,1009,22,28,4,3,2
43,1771,Fi,0,0.12590007,0.309036326,NA,NA,NA,NA,NA,1075,30,166,4,3,5
44,1775,Fi,3.891436943,1.199876766,0.027922078,NA,NA,NA,NA,NA,1248,17,314,5,2,8
45,1777,Fi,3.437972867,2.130383478,0,NA,NA,NA,NA,NA,1240,17,153,5,2,4
46,1790,Fi,2.366032501,0.810389353,0.149563257,NA,NA,NA,NA,NA,1643,28,315,6,3,8
47,1799,Fs,0,0.692715612,0.187294477,NA,NA,NA,NA,NA,1444,38,307,5,4,8
48,1805,La,0.789971347,0.395758864,0.163100917,NA,NA,NA,NA,NA,1972,22,73,6,3,3
49,1884,Fi,0,0.162334935,2.283540711,NA,NA,NA,NA,NA,1216,40,124,5,4,4
50,1922,Fs,1.568435819,0.767873909,2.746632422,NA,NA,NA,NA,NA,1858,33,64,6,4,2
51,1927,Zi,0.210501908,8.979942085,0.26415057,NA,NA,NA,NA,NA,1928,33,266,6,4,7
52,1997,FT,0,0.310072813,0,NA,NA,NA,NA,NA,1577,12,85,6,2,3
53,2004,FT,0,3.079575469,0.667842868,0,5.950012595,10.91003136,26.23854706,22.804833,1126,34,360,4,4,1
54,2007,FT,0.254536549,0.29106437,0.430052043,NA,NA,NA,NA,NA,1152,32,20,4,4,1
55,2024,Ki,0,1.317106227,0.530001184,NA,NA,NA,NA,NA,1357,28,154,5,3,4
56,2052,Fs,0,1.597020598,0.8222507,NA,NA,NA,NA,NA,2019,16,78,6,2,3
57,2060,Zi,2.132621723,0.725002932,7.525815694,NA,NA,NA,NA,NA,2251,34,246,6,4,6
58,2074,Fs,4.266294878,0.774020841,0.697081854,NA,NA,NA,NA,NA,1795,28,352,6,3,1
59,2132,EK,0,0.607338532,0,NA,NA,NA,NA,NA,1052,17,188,4,2,5
60,2149,Fs,1.86183714,0.814060967,0.03861549,NA,NA,NA,NA,NA,1835,22,322,6,3,8
61,2235,Fi,1.237922785,0.293265078,0.10969639,NA,NA,NA,NA,NA,1442,17,137,5,2,4
62,2243,Fs,0,1.791702964,0.882346443,NA,NA,NA,NA,NA,1726,18,343,6,2,1
63,2250,FT,0,0,0.544781592,NA,NA,NA,NA,NA,1222,25,45,5,3,2
64,2345,Fs,0.176706245,1.229480985,0.05353396,0.289983115,15.72145631,126.1973583,0,0,1711,27,335,6,3,8
